DocID,ParaID,Subject,Relation,Object
2_1,1,美国,imposes,关税战
2_1,1,香港,serves as,避风港
2_1,1,DHL,affected by,关税战
2_1,1,陈茂波,promotes,香港
2_1,1,特朗普,implements,关税战
2_1,1,香港,connects,东盟市场
2_1,1,国际资本,flows into,香港
1_1,1,Donald Trump,imposes tariffs,Asia Pacific
1_1,1,Korea National Oil Corp,issues bonds,markets
1_1,1,Petroliam Nasional Bhd,hires banks,bond issuance
1_1,1,Posco Holdings Inc.,works on deals,bond market
1_1,1,Jollibee Foods Corp.,works on deals,bond market
1_1,1,MTR Corp. Ltd.,works on deals,bond market
1_1,1,Mizuho Securities Asia,analyzes credit,Asian dollar primary market
1_1,1,Barclays,advises on capital markets,Asia Pacific
1_1,1,Bloomberg,compiles data,bond market
1_1,1,US Treasury,yields fall,investors
4_1,1,Robert Kiyosaki,recommends,Silver
4_1,1,Robert Kiyosaki,owns,Bitcoin
4_1,1,Robert Kiyosaki,owns,Gold
4_1,1,Fred Krueger,compares,Solana
4_1,1,Kraken,provides_price_data,Bitcoin
5_1,1,Nvidia,posts earnings,Market
5_1,1,MicroStrategy,acquires,Bitcoin
5_1,1,SharpLink Gaming,receives funding,Consensys
5_1,1,Consensys,leads funding,Ethereum Treasury Strategy
5_1,1,Dow Jones,rallies,Market
5_1,1,Nasdaq,gains,Market
5_1,1,Curaleaf Holdings,sells,Cannabis
5_1,1,Salesforce,acquires,Informatica
5_1,1,Informatica,provides,Cloud Data Management
7_1,1,China,accuses,US
7_1,1,US,imposes tariffs,China
7_1,1,Trump,plans to speak,Xi Jinping
7_1,1,Chinese Ministry of Commerce,warns,US
7_1,1,EU,prepares countermeasures,US
7_1,1,Salzgitter,criticizes,US tariffs
7_1,1,Gap,adjusts supply chain,China
7_1,1,Tesla,manufactures in,US
7_1,1,US Court of International Trade,blocks,Trump tariffs
7_1,1,Supreme Court,may review,Trump tariffs
6_1,1,President Trump,delays tariffs,European Union
6_1,1,Dow Jones Industrial Average,rises,1.8%
6_1,1,S&P 500,rises,2.1%
6_1,1,Nasdaq Composite,rises,2.5%
6_1,1,Nvidia,develops,AI chips
6_1,1,Tesla,affected by,EU tariffs
6_1,1,Federal Reserve,debates,inflation impact of tariffs
6_1,1,Japan,cuts back,bond sales
6_1,1,US Treasury,yields drop,amid global bond rally
6_1,1,Trump Media & Technology Group,buys,Bitcoin
6_1,1,Salesforce,acquires,Informatica
8_1,1,Elon Musk,opposes,Donald Trump's bill
8_1,1,DOGE,critiques,budget deficit
8_1,1,David Sacks,defends,tax cuts
8_1,1,Uber CEO Dara Khosrowshahi,supports,no tax on tips plan
8_1,1,Sen. Ron Johnson,criticizes,bill
8_1,1,Brookings Institution,tracks,government spending
9_1,1,Nvidia,exceeds earnings expectations,Wall Street
9_1,1,Nvidia,produces,Hopper
9_1,1,Nvidia,produces,Blackwell
9_1,1,Nvidia,produces,H200
9_1,1,Nvidia,produces,GB200
9_1,1,Stifel,analyzes,Nvidia
9_1,1,Bank of America,analyzes,Nvidia
